number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.09863847767269077,0.6092383806181517,119,4,1720,0.1206431057311391,0.07797021431500437,0.02736801827846297,COMPLETE
1,0.10658448227547407,0.427651521061609,57,7,995,7.613400488234836,0.06865460809262385,0.0670632252155102,COMPLETE
2,0.11495295017070119,0.21382481213060855,174,10,670,4.420514744344236,0.16228353200084109,0.3851609503463898,COMPLETE
3,0.10904070022095208,0.8626743360369593,65,7,536,0.05961436435509957,0.12558889843406418,0.4564617501162752,COMPLETE
4,0.10400133539649598,0.4551892967228879,209,5,1257,0.02051487537207192,0.009461457631139399,0.006482617122786845,COMPLETE
5,0.10716629082495346,0.7110956862030287,48,9,1985,0.35254314693068217,0.020119265694080936,0.0017202663154077065,COMPLETE
6,0.121259738886376,0.9301028034081725,228,9,1801,1.3511141785816556,0.10816149250674013,0.6161971322719817,COMPLETE
7,0.11229971981188169,0.9842840333065113,92,7,461,0.021228558836797626,0.03078524381016679,0.004120385436107548,COMPLETE
8,0.1058466699057704,0.4220551867544007,105,5,1826,0.08954889022082442,0.008147341734288714,0.016970327957951347,COMPLETE
9,0.10990899807054472,0.9017439796658578,35,4,1266,0.06396893368867691,0.09492438821312758,4.422416601617685,COMPLETE
10,0.10907571211788565,0.6645523449797819,156,4,1561,0.33650772733026685,0.05107094939161158,0.03778149992059391,COMPLETE
11,0.10443071150718627,0.21436128239296248,221,5,1321,0.01208191539286632,0.006909845873045511,0.006346391808652887,COMPLETE
12,0.10742036679825055,0.640958854816359,189,5,1011,0.031037373370706573,0.014537110555739287,0.015968987452617395,COMPLETE
13,0.10918136375739755,0.021994197011285077,125,6,1552,0.14172529636589384,0.03898241355725248,0.0019036748977796206,COMPLETE
14,0.10585838727075296,0.5012570459511405,139,4,1484,0.8119067492790973,0.012736937723686611,0.15105356728432087,COMPLETE
