number,value,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state
0,0.10268736221592473,0.8394633936788146,1,0.892797576724562,0.00018747059221802545,1.1752647960576206,0.1667521176194013,7,39,1475,44,COMPLETE
1,0.1006182197165993,0.6849356442713105,1,0.9329770563201687,0.0026892128247368906,0.02922905212920092,0.17898794163735265,5,45,724,16,COMPLETE
2,0.10499694341064893,0.7465447373174767,3,0.7168578594140873,0.0008674832802525459,0.02608388046560993,0.008364645453054504,7,159,283,86,COMPLETE
3,0.10222081358771859,0.9795542149013333,7,0.6260206371941118,0.0027000447632122603,0.00028771223716237863,0.009379072229909205,8,164,992,85,COMPLETE
4,0.10317129941411195,0.9637281608315128,2,0.6137554084460873,0.0029155533757373392,0.027783313007975565,0.031065126086242026,6,136,532,22,COMPLETE
5,0.10199657601007603,0.9579309401710595,4,0.9757995766256756,0.0002605095284382555,0.0008335230071817136,0.08725278311502205,-1,186,785,236,COMPLETE
6,0.10074594861562043,0.7427013306774357,2,0.9314950036607718,0.00045940816125026896,0.5881655048861891,0.013604651830782358,0,113,1977,46,COMPLETE
7,0.102194702367646,0.9261845713819337,5,0.602208846849441,0.42089738188876175,0.0002228094453258927,0.01040697346842839,4,149,408,135,COMPLETE
8,0.10250559108156211,0.6254233401144095,2,0.7323592099410596,0.2681621920201289,0.09905204218383899,0.04983460221146937,11,72,1050,175,COMPLETE
9,0.10180768449968716,0.8245108790277985,6,0.9043140194467589,0.028596039319441078,0.01020945174752076,0.0694433945478456,-1,104,394,22,COMPLETE
10,0.10237923817080712,0.6071847502459279,0,0.8320119013240499,3.235444438857017,0.003379534397108488,0.15603996460743103,3,17,1427,16,COMPLETE
11,0.1053445059510567,0.7168953862007945,0,0.9800301747089665,0.01177934633578892,4.8863649507944915,0.022457892384551863,2,81,1908,39,COMPLETE
12,0.11004800569941683,0.7097939893129923,2,0.9034865167163955,0.00010566181826522513,0.2215962141079502,0.017897489769933786,1,61,1907,39,COMPLETE
13,0.10159925284857649,0.7704587591088476,3,0.8332908615865308,0.0012731092675065548,0.378097831736678,0.005135082499163383,10,105,1498,59,COMPLETE
14,0.10030155013653834,0.6662225125541511,1,0.941147376197711,0.011495391225294608,3.5856670545366702,0.017144257879900846,4,120,723,26,COMPLETE
15,0.10165371252491379,0.664628563338648,1,0.9994342282512375,0.020504092892255507,4.01170986896447,0.038066692324707704,4,11,711,25,COMPLETE
16,0.10182480688647907,0.6601006617002841,0,0.8480595631138229,0.07190524561199663,0.003387972688825224,0.10900981185811727,5,47,765,16,COMPLETE
17,0.10204021870653701,0.6739805911133024,1,0.7705386664376376,0.004530770802827742,0.0689772151291498,0.024696587136925505,9,123,1207,27,COMPLETE
18,0.10050190520377887,0.8693386818617739,4,0.9307560280450322,0.06952500964978334,1.5363152643471734,0.05811528024736633,12,88,889,30,COMPLETE
19,0.1016322792216926,0.880233995983884,4,0.870989934754812,0.1227906015062728,1.2672727054858022,0.05145779527368068,12,88,913,33,COMPLETE
20,0.10158341579301111,0.8801151332999178,5,0.9493790112222862,1.3152293432372737,1.3447512261114898,0.015501660370712801,12,190,1250,53,COMPLETE
21,0.10243891835408449,0.7931424560115123,3,0.9367747733708551,0.009036654253139136,2.632794997027892,0.11328303475726062,5,37,657,19,COMPLETE
22,0.09871907787089426,0.8900646198797656,4,0.9515398779127838,0.04744439818806054,0.17509402791702985,0.18810945838772491,3,92,882,30,COMPLETE
23,0.10256452168921033,0.8971845186653009,5,0.7995049738127896,0.051739855252772096,0.18265875861570322,0.06436708399266904,2,93,898,31,COMPLETE
24,0.10372026821956819,0.8491530224183711,4,0.9615426831693715,0.24729576832709288,0.46991523182136846,0.03990534995970505,3,130,1172,32,COMPLETE
