number,value,params_batch_size,params_dropout,params_hidden_size,params_lr,params_num_layers,params_window,state
0,0.016623237364703194,128,0.11257892078202514,128,0.0005782272875976323,2,72,COMPLETE
1,0.06099032677694166,32,0.39628867390312006,128,0.0093063545496073,2,48,COMPLETE
2,0.08450072036846629,64,0.09078191573691435,96,0.005812311698044923,1,24,COMPLETE
3,0.04976323162309573,32,0.24040164940927455,96,0.001970157114829891,1,48,COMPLETE
4,0.057295545688239614,64,0.33030158619888217,96,0.00461332843440099,1,72,COMPLETE
5,0.08744510982051977,32,0.36891119098310626,32,0.009533032909601377,1,24,COMPLETE
6,0.03313959748944103,32,0.1290359814883819,64,0.0008774711132858696,1,48,COMPLETE
7,0.06422487379408545,32,0.3519254106001499,64,0.008362469320771459,3,72,COMPLETE
8,0.04179872370508366,128,0.3359089957037926,32,0.008376838687532473,2,48,COMPLETE
9,0.06475157478486085,64,0.24169528105893048,96,0.006206776926126769,1,72,COMPLETE
10,0.016189812446303072,128,0.030071957288214046,128,0.0005208178835370567,3,72,COMPLETE
11,0.014782142174536937,128,0.005857020849619005,128,0.0005704911805027223,3,72,COMPLETE
12,0.016213368250983157,128,0.0018722731599555564,128,0.0005084335561530894,3,72,COMPLETE
13,0.02090316248409179,128,0.025139048508506786,128,0.001128981156871468,3,72,COMPLETE
14,0.01700158917949474,128,0.05415833173314161,128,0.0010251957275457396,3,72,COMPLETE
